complaint_id,category,priority,reason,flag
KM-202401,Heritage Damage,Low,Classified Heritage Damage (Low) — evidence: 'heritage'. low signal: 'restored'.,
KM-202402,Heritage Damage,Standard,"Classified Heritage Damage (Standard) — evidence: 'historic', 'tram'.",
KM-202405,Noise,Standard,"Classified Noise (Standard) — evidence: 'wedding band', 'band playing'.",
KM-202409,Pothole,Standard,Classified Pothole (Standard) — evidence: 'pothole'.,
KM-202410,Pothole,Standard,Classified Pothole (Standard) — evidence: 'pothole'.,
KM-202411,Pothole,Urgent,Classified Pothole (Urgent) — evidence: 'pothole'. urgent signal: 'accident risk'.,
KM-202415,Drain Blockage,Standard,Classified Drain Blockage (Standard) — evidence: 'drain'.,
KM-202418,Waste,Standard,"Classified Waste (Standard) — evidence: 'waste', 'overflowing'.",
KM-202421,Road Damage,Urgent,"Classified Road Damage (Urgent) — evidence: 'footpath', 'sinking'. urgent signal: 'hospital', 'fell'.",
KM-202422,Road Damage,Standard,"Classified Road Damage (Standard) — evidence: 'road surface', 'road', 'buckled'. standard signal: 'concern'.",
KM-202426,Heritage Damage,Standard,Classified Heritage Damage (Standard) — evidence: 'heritage'.,
KM-202430,Road Damage,Urgent,"Classified Road Damage (Urgent) — evidence: 'road', 'subsided'. urgent signal: 'gas leak'.",
KM-202434,Road Damage,Low,Classified Road Damage (Low) — evidence: 'paving'. low signal: 'not replaced'.,
KM-202436,Streetlight,Standard,"Classified Streetlight (Standard) — evidence: 'dark', 'darkness', 'substation'.",
KM-202438,Noise,Standard,"Classified Noise (Standard) — evidence: 'amplifier', 'amplifiers'.",
