complaint_id,date_raised,city,ward,location,description,reported_by,days_open,category,priority,reason,flag
KM-202401,2024-06-19,Kolkata,Ward 27 – Salt Lake,"Park Street, Victoria area",Heritage lamp post knocked over by delivery vehicle. Not restored.,Email,17,Heritage Damage,Standard,"The description mentions 'Heritage lamp post knocked over by delivery vehicle', which matches the 'Heritage Damage' category.",
KM-202402,2024-06-07,Kolkata,Ward 25 – Jadavpur,"College Street, Boi Para",Historic tram road cobblestones broken up by cable laying work.,Councillor Referral,16,Road Damage,Standard,"The description mentions 'Historic tram road cobblestones broken up by cable laying work', which matches the 'Road Damage' category.",
KM-202405,2024-06-13,Kolkata,Ward 25 – Jadavpur,"Jorasanko, heritage zone",Wedding band playing near Tagore Museum at 11pm. Festival season ongoing.,Ward Office Walk-in,10,Other,Standard,"The description mentions 'Wedding band playing near Tagore Museum at 11pm', which matches the 'Other' category.",NEEDS_REVIEW
KM-202409,2024-06-05,Kolkata,Ward 26 – Behala,VIP Road near Dum Dum Airport,Airport access road full of potholes. Diplomatic complaint received.,Councillor Referral,7,Pothole,Standard,"The description mentions 'Airport access road full of potholes', which matches the 'Pothole' category.",
KM-202410,2024-06-21,Kolkata,Ward 26 – Behala,EM Bypass near Science City,Pothole causing tyre blowouts. Three incidents this week.,Email,1,Pothole,Standard,"The description mentions 'Pothole causing tyre blowouts', which matches the 'Pothole' category.",
KM-202411,2024-06-23,Kolkata,Ward 26 – Behala,"Tollygunge, Sardar Shankar Road",Deep pothole filling with rainwater. Depth invisible. Accident risk.,Councillor Referral,12,Pothole,Standard,"The description mentions 'Deep pothole filling with rainwater', which matches the 'Pothole' category.",
KM-202415,2024-06-28,Kolkata,Ward 26 – Behala,"Kasba, off bypass",New residential complex draining directly onto public road.,WhatsApp Helpline,13,Other,Standard,"The description mentions 'New residential complex draining directly onto public road', which matches the 'Other' category.",NEEDS_REVIEW
KM-202418,2024-06-04,Kolkata,Ward 23 – Park Street,"New Market, Lindsay Street",Tourist zone waste overflowing. Foreign visitors photographing piles.,Ward Office Walk-in,15,Waste,Standard,"The description mentions 'Tourist zone waste overflowing', which matches the 'Waste' category.",
KM-202421,2024-06-08,Kolkata,Ward 23 – Park Street,Rashbehari Avenue,Footpath broken and sinking. Elderly pedestrian fell. Hospital visit.,Social Media,3,Road Damage,Urgent,"The description mentions 'Hospital visit', applying Urgent priority due to keyword match (noting potential uncertainty if used as a landmark).",
KM-202422,2024-06-06,Kolkata,Ward 24 – Shyambazar,"Howrah Bridge approach, Kolkata side",Road surface buckled near bridge. Structural concern raised.,Social Media,1,Other,Standard,"The description mentions 'Road surface buckled near bridge', which matches the 'Other' category.",NEEDS_REVIEW
KM-202426,2024-06-17,Kolkata,Ward 24 – Shyambazar,"Bow Barracks, central Kolkata",Heritage residential building exterior defaced by billboard installation.,Phone Helpline,1,Heritage Damage,Standard,"The description mentions 'Heritage residential building exterior defaced by billboard installation', which matches the 'Heritage Damage' category.",
KM-202430,2024-06-08,Kolkata,Ward 23 – Park Street,"Park Street, restaurant zone",Road subsided near gas pipeline. Gas leak smell reported too.,Social Media,21,Other,Standard,"The description mentions 'Road subsided near gas pipeline', which matches the 'Other' category.",NEEDS_REVIEW
KM-202434,2024-06-15,Kolkata,Ward 23 – Park Street,"Marble Palace, Muktaram Babu Street",Street paving removed for utility work — heritage stone not replaced.,Email,14,Heritage Damage,Standard,"The description mentions 'Street paving removed for utility work — heritage stone not replaced', which matches the 'Heritage Damage' category.",
KM-202436,2024-06-26,Kolkata,Ward 27 – Salt Lake,"New Alipore, residential colony",Entire colony substation tripped. Darkness for 3 nights.,Councillor Referral,17,Other,Standard,"The description mentions 'Entire colony substation tripped', which matches the 'Other' category.",NEEDS_REVIEW
KM-202438,2024-06-22,Kolkata,Ward 25 – Jadavpur,"Esplanade, near Metro",Street vendors using amplifiers illegally in heritage precinct.,Councillor Referral,19,Heritage Damage,Standard,"The description mentions 'Street vendors using amplifiers illegally in heritage precinct', which matches the 'Heritage Damage' category.",
