complaint_id,date_raised,city,ward,location,description,reported_by,days_open,category,priority,reason,flag
PM-202401,2024-06-21,Pune,Ward 4 – Warje,Karve Road near Deccan Gymkhana,Large pothole 60cm wide causing tyre damage. Three vehicles affected this week.,Citizen Portal,4,Pothole,Standard,"The complaint text cites phrases such as ""Large pothole 60cm wide causing tyre damage. Three vehicles affected this week."" to justify Pothole.",
PM-202402,2024-06-04,Pune,Ward 3 – Kothrud,FC Road near MIT College junction,Deep pothole near bus stop. School children at risk during morning hours.,Councillor Referral,12,Pothole,Urgent,"The complaint text cites phrases such as ""Deep pothole near bus stop. School children at risk during morning hours."" to justify Pothole.",
PM-202406,2024-06-08,Pune,Ward 1 – Kasba,Ambedkar Road underpass,Underpass flooded knee-deep after 2hrs rain. Commuters stranded.,Councillor Referral,8,Flooding,Standard,"The complaint text cites phrases such as ""Underpass flooded knee-deep after 2hrs rain. Commuters stranded."" to justify Flooding.",
PM-202408,2024-06-05,Pune,Ward 3 – Kothrud,Kothrud Depot bus stand,Bus stand flooded. Passengers standing in water. Drain blocked.,Ward Office Walk-in,12,Flooding,Standard,"The complaint text cites phrases such as ""Bus stand flooded. Passengers standing in water. Drain blocked."" to justify Flooding.",
PM-202410,2024-06-04,Pune,Ward 2 – Shivajinagar,JM Road near Goodluck Chowk,Three consecutive streetlights out for 10 days. Area very dark at night.,Email,18,Streetlight,Standard,"The complaint text cites phrases such as ""Three consecutive streetlights out for 10 days. Area very dark at night."" to justify Streetlight.",
PM-202411,2024-06-22,Pune,Ward 2 – Shivajinagar,"Viman Nagar, Vadgaon Sheri Road",Streetlight flickering and sparking. Electrical hazard reported.,Social Media,9,Streetlight,Urgent,"The complaint text cites phrases such as ""Streetlight flickering and sparking. Electrical hazard reported."" to justify Streetlight.",
PM-202413,2024-06-29,Pune,Ward 1 – Kasba,Shivajinagar market area,Overflowing garbage bins near vegetable market. Smell affecting shoppers.,WhatsApp Helpline,13,Waste,Standard,"The complaint text cites phrases such as ""Overflowing garbage bins near vegetable market. Smell affecting shoppers."" to justify Waste.",
PM-202418,2024-06-02,Pune,Ward 4 – Warje,Kalyani Nagar residential zone,Wedding venue playing music past midnight on weeknights.,Citizen Portal,5,Noise,Standard,"The complaint text cites phrases such as ""Wedding venue playing music past midnight on weeknights."" to justify Noise.",
PM-202419,2024-06-01,Pune,Ward 2 – Shivajinagar,Senapati Bapat Road,Road surface cracked and sinking near utility work done 1 month ago.,Social Media,2,Road Damage,Standard,"The complaint text cites phrases such as ""Road surface cracked and sinking near utility work done 1 month ago."" to justify Road Damage.",
PM-202420,2024-06-03,Pune,Ward 1 – Kasba,Paud Road near Kothrud,Manhole cover missing. Risk of serious injury to cyclists.,Email,14,Drain Blockage,Urgent,"The complaint text cites phrases such as ""Manhole cover missing. Risk of serious injury to cyclists."" to justify Drain Blockage.",
PM-202427,2024-06-07,Pune,Ward 5 – Hadapsar,Erandwane depression near bridge,Bridge approach floods in 30mins of rain. Bridge becomes inaccessible.,Councillor Referral,12,Flooding,Standard,"The complaint text cites phrases such as ""Bridge approach floods in 30mins of rain. Bridge becomes inaccessible."" to justify Flooding.",
PM-202428,2024-06-23,Pune,Ward 3 – Kothrud,Pune University Road,Dead animal not removed for 36 hours. Health concern.,Email,1,Waste,Standard,"The complaint text cites phrases such as ""Dead animal not removed for 36 hours. Health concern."" to justify Waste.",
PM-202430,2024-06-23,Pune,Ward 1 – Kasba,"Rasta Peth, old city area","Heritage street, lights out. Safety concern for pedestrians after dark.",Social Media,19,Heritage Damage,Standard,"The complaint text cites phrases such as ""Heritage street, lights out. Safety concern for pedestrians after dark."" to justify Heritage Damage.",
PM-202433,2024-06-08,Pune,Ward 2 – Shivajinagar,Dhole Patil Road,Bulk waste from apartment renovation dumped on public road.,Phone Helpline,20,Waste,Standard,"The complaint text cites phrases such as ""Bulk waste from apartment renovation dumped on public road."" to justify Waste.",
PM-202446,2024-06-09,Pune,Ward 2 – Shivajinagar,"Swargate, Tilak Road",Footpath tiles broken and upturned. Elderly resident fell last week.,Email,18,Road Damage,Urgent,"The complaint text cites phrases such as ""Footpath tiles broken and upturned. Elderly resident fell last week."" to justify Road Damage.",
