complaint_id,date_raised,city,ward,location,description,reported_by,days_open,category,priority,reason,flag
PM-202401,2024-06-21,Pune,Ward 4 – Warje,Karve Road near Deccan Gymkhana,Large pothole 60cm wide causing tyre damage. Three vehicles affected this week.,Citizen Portal,4,Pothole,Standard,Categorized as Pothole based on keyword 'pothole' and marked Standard due to standard reporting.,
PM-202402,2024-06-04,Pune,Ward 3 – Kothrud,FC Road near MIT College junction,Deep pothole near bus stop. School children at risk during morning hours.,Councillor Referral,12,Pothole,Urgent,Categorized as Pothole based on keyword 'pothole' and marked Urgent due to severity keyword 'child'.,
PM-202406,2024-06-08,Pune,Ward 1 – Kasba,Ambedkar Road underpass,Underpass flooded knee-deep after 2hrs rain. Commuters stranded.,Councillor Referral,8,Flooding,Standard,Categorized as Flooding based on keyword 'flood' and marked Standard due to standard reporting.,
PM-202408,2024-06-05,Pune,Ward 3 – Kothrud,Kothrud Depot bus stand,Bus stand flooded. Passengers standing in water. Drain blocked.,Ward Office Walk-in,12,Flooding,Standard,Categorized as Flooding based on keyword 'flood' and marked Standard due to standard reporting.,
PM-202410,2024-06-04,Pune,Ward 2 – Shivajinagar,JM Road near Goodluck Chowk,Three consecutive streetlights out for 10 days. Area very dark at night.,Email,18,Streetlight,Standard,Categorized as Streetlight based on keyword 'streetlight' and marked Standard due to standard reporting.,
PM-202411,2024-06-22,Pune,Ward 2 – Shivajinagar,"Viman Nagar, Vadgaon Sheri Road",Streetlight flickering and sparking. Electrical hazard reported.,Social Media,9,Streetlight,Urgent,Categorized as Streetlight based on keyword 'streetlight' and marked Urgent due to severity keyword 'hazard'.,
PM-202413,2024-06-29,Pune,Ward 1 – Kasba,Shivajinagar market area,Overflowing garbage bins near vegetable market. Smell affecting shoppers.,WhatsApp Helpline,13,Waste,Standard,Categorized as Waste based on keyword 'garbage' and marked Standard due to standard reporting.,
PM-202418,2024-06-02,Pune,Ward 4 – Warje,Kalyani Nagar residential zone,Wedding venue playing music past midnight on weeknights.,Citizen Portal,5,Noise,Standard,Categorized as Noise based on keyword 'music' and marked Standard due to standard reporting.,
PM-202419,2024-06-01,Pune,Ward 2 – Shivajinagar,Senapati Bapat Road,Road surface cracked and sinking near utility work done 1 month ago.,Social Media,2,Road Damage,Standard,Categorized as Road Damage based on keyword 'crack' and marked Standard due to standard reporting.,
PM-202420,2024-06-03,Pune,Ward 1 – Kasba,Paud Road near Kothrud,Manhole cover missing. Risk of serious injury to cyclists.,Email,14,Other,Urgent,Categorized as Other based on no specific keywords found and marked Urgent due to severity keyword 'injury'.,NEEDS_REVIEW
PM-202427,2024-06-07,Pune,Ward 5 – Hadapsar,Erandwane depression near bridge,Bridge approach floods in 30mins of rain. Bridge becomes inaccessible.,Councillor Referral,12,Flooding,Standard,Categorized as Flooding based on keyword 'flood' and marked Standard due to standard reporting.,
PM-202428,2024-06-23,Pune,Ward 3 – Kothrud,Pune University Road,Dead animal not removed for 36 hours. Health concern.,Email,1,Other,Standard,Categorized as Other based on no specific keywords found and marked Standard due to standard reporting.,NEEDS_REVIEW
PM-202430,2024-06-23,Pune,Ward 1 – Kasba,"Rasta Peth, old city area","Heritage street, lights out. Safety concern for pedestrians after dark.",Social Media,19,Streetlight,Standard,Categorized as Streetlight based on keyword 'dark' and marked Standard due to standard reporting.,
PM-202433,2024-06-08,Pune,Ward 2 – Shivajinagar,Dhole Patil Road,Bulk waste from apartment renovation dumped on public road.,Phone Helpline,20,Waste,Standard,Categorized as Waste based on keyword 'waste' and marked Standard due to standard reporting.,
PM-202446,2024-06-09,Pune,Ward 2 – Shivajinagar,"Swargate, Tilak Road",Footpath tiles broken and upturned. Elderly resident fell last week.,Email,18,Other,Urgent,Categorized as Other based on no specific keywords found and marked Urgent due to severity keyword 'fell'.,NEEDS_REVIEW
