complaint_id,category,priority,reason,flag
PM-202401,Other,Normal,No clear keyword,NEEDS_REVIEW
PM-202402,Other,Normal,No clear keyword,NEEDS_REVIEW
PM-202406,Other,Normal,No clear keyword,NEEDS_REVIEW
PM-202408,Other,Normal,No clear keyword,NEEDS_REVIEW
PM-202410,Other,Normal,No clear keyword,NEEDS_REVIEW
PM-202411,Other,Normal,No clear keyword,NEEDS_REVIEW
PM-202413,Other,Normal,No clear keyword,NEEDS_REVIEW
PM-202418,Other,Normal,No clear keyword,NEEDS_REVIEW
PM-202419,Other,Normal,No clear keyword,NEEDS_REVIEW
PM-202420,Other,Normal,No clear keyword,NEEDS_REVIEW
PM-202427,Other,Normal,No clear keyword,NEEDS_REVIEW
PM-202428,Other,Normal,No clear keyword,NEEDS_REVIEW
PM-202430,Other,Normal,No clear keyword,NEEDS_REVIEW
PM-202433,Other,Normal,No clear keyword,NEEDS_REVIEW
PM-202446,Other,Normal,No clear keyword,NEEDS_REVIEW
