complaint_id,date_raised,city,ward,location,description,reported_by,days_open,category,priority,reason,flag
AM-202401,2024-04-24,Ahmedabad,Ward 13 – Sabarmati,Kankaria Lake promenade,Tarmac surface melting at 44°C. Footwear sticking. Park users unsafe.,Email,1,Heat Hazard,Urgent,"Classified as Heat Hazard quoting 'melting, 44', and set to Urgent because 'unsafe' was mentioned.",
AM-202402,2024-04-23,Ahmedabad,Ward 12 – Maninagar,"Naroda Industrial Area, main gate",Metal bus shelter reaching dangerous temperatures. Commuters refusing to use.,Citizen Portal,4,Heat Hazard,Urgent,"Classified as Heat Hazard quoting 'temperature', and set to Urgent because 'dangerous' was mentioned.",
AM-202405,2024-05-08,Ahmedabad,Ward 11 – Vastrapur,"Sabarmati Riverfront, North section",Dead trees with split branches. Fall risk to walkers. 3 trees affected.,WhatsApp Helpline,19,Other,Urgent,Does not contain recognizable taxonomy keywords and requires manual review.,NEEDS_REVIEW
AM-202406,2024-04-21,Ahmedabad,Ward 15 – Chandkheda,"Chandkheda, Sector 22 park",Irrigation system broken. Grass dying in heatwave conditions.,Phone Helpline,18,Heat Hazard,Standard,"The description matches the Heat Hazard category due to the explicit presence of the word(s): 'heat, heatwave'.",
AM-202407,2024-04-25,Ahmedabad,Ward 15 – Chandkheda,"Thaltej, residential park",Broken bench and upturned paving. Child injured last week.,Email,20,Road Damage,Urgent,"Classified as Road Damage quoting 'broken, paving, bench', and set to Urgent because 'injur' was mentioned.",
AM-202410,2024-05-02,Ahmedabad,Ward 12 – Maninagar,SG Highway near Prahladnagar,Pothole on main highway causing morning rush lane closure.,Ward Office Walk-in,4,Pothole,Standard,The description matches the Pothole category due to the explicit presence of the word(s): 'pothole'.,
AM-202414,2024-04-20,Ahmedabad,Ward 14 – Odhav,"Jodhpur Village, off SG Highway",Residential colony unlit after 9pm. Wiring theft reported.,Citizen Portal,10,Streetlight,Standard,"The description matches the Streetlight category due to the explicit presence of the word(s): 'unlit, wiring'.",
AM-202417,2024-05-08,Ahmedabad,Ward 13 – Sabarmati,"Manek Chowk, Old City",Night market waste not cleared before morning. Heritage area affected.,Councillor Referral,21,Waste,Standard,"The description matches the Waste category due to the explicit presence of the word(s): 'waste, cleared'.",
AM-202421,2024-05-03,Ahmedabad,Ward 14 – Odhav,"CG Road, commercial zone",Club music audible at residential buildings at 2am.,Citizen Portal,18,Noise,Standard,The description matches the Noise category due to the explicit presence of the word(s): 'music'.,
AM-202424,2024-05-04,Ahmedabad,Ward 11 – Vastrapur,"Shahibaug, near zoo",Zoo approach road surface bubbling at 45°C. Visitor complaints.,Councillor Referral,19,Heat Hazard,Standard,"The description matches the Heat Hazard category due to the explicit presence of the word(s): '45, bubbling'.",
AM-202429,2024-04-24,Ahmedabad,Ward 11 – Vastrapur,Ellis Bridge walking track,River walk surface temperature unbearable. Installed temperature reads 52°C.,Councillor Referral,3,Heat Hazard,Standard,"The description matches the Heat Hazard category due to the explicit presence of the word(s): 'temperature, 52'.",
AM-202431,2024-04-26,Ahmedabad,Ward 14 – Odhav,"Paldi, Ratanpol area",Old city road subsidence near ancient step well. Heritage concern.,Citizen Portal,18,Heritage Damage,Urgent,"Classified as Heritage Damage quoting 'heritage, ancient', and set to Urgent because 'concern' was mentioned.",
AM-202435,2024-05-07,Ahmedabad,Ward 11 – Vastrapur,"New CG Road, Chandkheda",Black metal road dividers storing heat. Motorists reporting burns on contact.,WhatsApp Helpline,16,Heat Hazard,Urgent,"Classified as Heat Hazard quoting 'heat, burn', and set to Urgent because 'burn' was mentioned.",
AM-202444,2024-05-15,Ahmedabad,Ward 12 – Maninagar,"Jivraj Park, commercial area",Restaurant waste bins overflowing on Sunday night. Health risk.,Councillor Referral,20,Waste,Urgent,"Classified as Waste quoting 'waste, bins', and set to Urgent because 'risk' was mentioned.",
AM-202445,2024-04-19,Ahmedabad,Ward 13 – Sabarmati,Ranip Bus Rapid Transit stop,BRT shelter roof glass broken. Users exposed to full sun.,Councillor Referral,9,Other,Standard,"The description is ambiguous as it equally matches multiple categories: Road Damage, Heat Hazard.",NEEDS_REVIEW
