complaint_id,category,priority,reason,flag
AM-202401,Heat Hazard,Standard,Classified as Heat Hazard because the description cites 'Tarmac surface melting at 44°C'.,
AM-202402,Heat Hazard,Standard,Classified as Heat Hazard because the description cites 'Metal bus shelter reaching dangerous temperatures'.,
AM-202405,Other,Standard,The complaint is classified as Other and flagged for review because no standard category keywords were matched in the description.,NEEDS_REVIEW
AM-202406,Heat Hazard,Standard,Classified as Heat Hazard because the description cites 'Grass dying in heatwave conditions'.,
AM-202407,Road Damage,Urgent,Classified as Road Damage because the description cites 'Broken bench and upturned paving'.,
AM-202410,Pothole,Standard,Classified as Pothole because the description cites 'Pothole on main highway causing morning rush lane closure'.,
AM-202414,Streetlight,Standard,Classified as Streetlight because the description cites 'Residential colony unlit after 9pm'.,
AM-202417,Waste,Standard,Classified as Waste because the description cites 'Night market waste not cleared before morning'.,NEEDS_REVIEW
AM-202421,Noise,Standard,Classified as Noise because the description cites 'Club music audible at residential buildings at 2am'.,
AM-202424,Road Damage,Standard,Classified as Road Damage because the description cites 'Zoo approach road surface bubbling at 45°C'.,NEEDS_REVIEW
AM-202429,Heat Hazard,Standard,Classified as Heat Hazard because the description cites 'River walk surface temperature unbearable'.,
AM-202431,Road Damage,Standard,Classified as Road Damage because the description cites 'Old city road subsidence near ancient step well'.,NEEDS_REVIEW
AM-202435,Heat Hazard,Standard,Classified as Heat Hazard because the description cites 'Black metal road dividers storing heat'.,
AM-202444,Waste,Standard,Classified as Waste because the description cites 'Restaurant waste bins overflowing on Sunday night'.,
AM-202445,Other,Standard,The complaint is classified as Other and flagged for review because no standard category keywords were matched in the description.,NEEDS_REVIEW
