complaint_id,category,priority,reason,flag
GH-202401,Other,Low,Empty complaint,NEEDS_REVIEW
GH-202402,Other,Low,Empty complaint,NEEDS_REVIEW
GH-202406,Other,Low,Empty complaint,NEEDS_REVIEW
GH-202407,Other,Low,Empty complaint,NEEDS_REVIEW
GH-202410,Other,Low,Empty complaint,NEEDS_REVIEW
GH-202411,Other,Low,Empty complaint,NEEDS_REVIEW
GH-202412,Other,Low,Empty complaint,NEEDS_REVIEW
GH-202417,Other,Low,Empty complaint,NEEDS_REVIEW
GH-202420,Other,Low,Empty complaint,NEEDS_REVIEW
GH-202422,Other,Low,Empty complaint,NEEDS_REVIEW
GH-202424,Other,Low,Empty complaint,NEEDS_REVIEW
GH-202428,Other,Low,Empty complaint,NEEDS_REVIEW
GH-202432,Other,Low,Empty complaint,NEEDS_REVIEW
GH-202448,Other,Low,Empty complaint,NEEDS_REVIEW
GH-202438,Other,Low,Empty complaint,NEEDS_REVIEW
