Ward,Category,Period,Actual Spend (₹ lakh),MoM Growth,Formula
Ward 1 – Kasba,Roads & Pothole Repair,2024-01,13.3,No previous data,N/A
Ward 1 – Kasba,Roads & Pothole Repair,2024-02,12.2,−8.3%,((Current - Previous) / Previous) * 100 = ((12.2 - 13.3) / 13.3) * 100
Ward 1 – Kasba,Roads & Pothole Repair,2024-03,12.3,+0.8%,((Current - Previous) / Previous) * 100 = ((12.3 - 12.2) / 12.2) * 100
Ward 1 – Kasba,Roads & Pothole Repair,2024-04,13.4,+8.9%,((Current - Previous) / Previous) * 100 = ((13.4 - 12.3) / 12.3) * 100
Ward 1 – Kasba,Roads & Pothole Repair,2024-05,14.1,+5.2%,((Current - Previous) / Previous) * 100 = ((14.1 - 13.4) / 13.4) * 100
Ward 1 – Kasba,Roads & Pothole Repair,2024-06,14.8,+5.0%,((Current - Previous) / Previous) * 100 = ((14.8 - 14.1) / 14.1) * 100
Ward 1 – Kasba,Roads & Pothole Repair,2024-07,19.7,+33.1%,((Current - Previous) / Previous) * 100 = ((19.7 - 14.8) / 14.8) * 100
Ward 1 – Kasba,Roads & Pothole Repair,2024-08,20.2,+2.5%,((Current - Previous) / Previous) * 100 = ((20.2 - 19.7) / 19.7) * 100
Ward 1 – Kasba,Roads & Pothole Repair,2024-09,20.1,−0.5%,((Current - Previous) / Previous) * 100 = ((20.1 - 20.2) / 20.2) * 100
Ward 1 – Kasba,Roads & Pothole Repair,2024-10,13.1,−34.8%,((Current - Previous) / Previous) * 100 = ((13.1 - 20.1) / 20.1) * 100
Ward 1 – Kasba,Roads & Pothole Repair,2024-11,14.2,+8.4%,((Current - Previous) / Previous) * 100 = ((14.2 - 13.1) / 13.1) * 100
Ward 1 – Kasba,Roads & Pothole Repair,2024-12,12.7,−10.6%,((Current - Previous) / Previous) * 100 = ((12.7 - 14.2) / 14.2) * 100
