period,ward,category,budgeted_amount,actual_spend,notes,growth
2024-01,Ward 1 – Kasba,Roads & Pothole Repair,13.0,13.3,,error
2024-01,Ward 1 – Kasba,Drainage & Flooding,8.6,7.3,,error
2024-01,Ward 1 – Kasba,Streetlight Maintenance,3.3,3.0,,error
2024-01,Ward 1 – Kasba,Waste Management,5.9,5.3,,error
2024-01,Ward 1 – Kasba,Parks & Greening,2.3,2.4,,error
2024-01,Ward 2 – Shivajinagar,Roads & Pothole Repair,15.8,16.2,,error
2024-01,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,10.9,,error
2024-01,Ward 2 – Shivajinagar,Streetlight Maintenance,4.4,3.8,,error
2024-01,Ward 2 – Shivajinagar,Waste Management,6.4,6.1,,error
2024-01,Ward 2 – Shivajinagar,Parks & Greening,1.9,1.6,,error
2024-01,Ward 3 – Kothrud,Roads & Pothole Repair,11.8,10.6,,error
2024-01,Ward 3 – Kothrud,Drainage & Flooding,8.2,8.0,,error
2024-01,Ward 3 – Kothrud,Streetlight Maintenance,4.0,3.4,,error
2024-01,Ward 3 – Kothrud,Waste Management,5.1,4.6,,error
2024-01,Ward 3 – Kothrud,Parks & Greening,3.3,3.3,,error
2024-01,Ward 4 – Warje,Roads & Pothole Repair,10.3,10.2,,error
2024-01,Ward 4 – Warje,Drainage & Flooding,6.7,6.1,,error
2024-01,Ward 4 – Warje,Streetlight Maintenance,3.0,3.1,,error
2024-01,Ward 4 – Warje,Waste Management,4.4,4.7,,error
2024-01,Ward 4 – Warje,Parks & Greening,1.6,1.3,,error
2024-01,Ward 5 – Hadapsar,Roads & Pothole Repair,14.3,15.3,,error
2024-01,Ward 5 – Hadapsar,Drainage & Flooding,10.6,11.0,,error
2024-01,Ward 5 – Hadapsar,Streetlight Maintenance,3.7,3.4,,error
2024-01,Ward 5 – Hadapsar,Waste Management,6.1,5.4,,error
2024-01,Ward 5 – Hadapsar,Parks & Greening,2.5,2.8,,error
2024-02,Ward 1 – Kasba,Roads & Pothole Repair,13.0,12.2,,error
2024-02,Ward 1 – Kasba,Drainage & Flooding,8.6,7.4,,error
2024-02,Ward 1 – Kasba,Streetlight Maintenance,3.3,2.8,,error
2024-02,Ward 1 – Kasba,Waste Management,5.9,6.4,,error
2024-02,Ward 1 – Kasba,Parks & Greening,2.3,2.3,,error
2024-02,Ward 2 – Shivajinagar,Roads & Pothole Repair,15.8,16.8,,error
2024-02,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,10.4,,error
2024-02,Ward 2 – Shivajinagar,Streetlight Maintenance,4.4,4.4,,error
2024-02,Ward 2 – Shivajinagar,Waste Management,6.4,7.1,,error
2024-02,Ward 2 – Shivajinagar,Parks & Greening,1.9,1.8,,error
2024-02,Ward 3 – Kothrud,Roads & Pothole Repair,11.8,11.7,,error
2024-02,Ward 3 – Kothrud,Drainage & Flooding,8.2,8.8,,error
2024-02,Ward 3 – Kothrud,Streetlight Maintenance,4.0,4.0,,error
2024-02,Ward 3 – Kothrud,Waste Management,5.1,5.6,,error
2024-02,Ward 3 – Kothrud,Parks & Greening,3.3,3.3,,error
2024-02,Ward 4 – Warje,Roads & Pothole Repair,10.3,10.7,,error
2024-02,Ward 4 – Warje,Drainage & Flooding,6.7,5.7,,error
2024-02,Ward 4 – Warje,Streetlight Maintenance,3.0,2.8,,error
2024-02,Ward 4 – Warje,Waste Management,4.4,4.1,,error
2024-02,Ward 4 – Warje,Parks & Greening,1.6,1.4,,error
2024-02,Ward 5 – Hadapsar,Roads & Pothole Repair,14.3,12.9,,error
2024-02,Ward 5 – Hadapsar,Drainage & Flooding,10.6,9.2,,error
2024-02,Ward 5 – Hadapsar,Streetlight Maintenance,3.7,3.4,,error
2024-02,Ward 5 – Hadapsar,Waste Management,6.1,6.2,,error
2024-02,Ward 5 – Hadapsar,Parks & Greening,2.5,2.4,,error
2024-03,Ward 1 – Kasba,Roads & Pothole Repair,13.0,12.3,,error
